Symptom,weight
itching,1
skin_rash,3
nodal_skin_eruptions,4
continuous_sneezing,4
shivering,5
chills,3
joint_pain,3
stomach_pain,5
acidity,3
ulcers_on_tongue,4
muscle_wasting,3
vomiting,5
burning_micturition,6
spotting_urination,6
fatigue,4
weight_gain,3
anxiety,4
cold_hands_and_feets,5
mood_swings,3
weight_loss,3
restlessness,5
lethargy,2
patches_in_throat,6
irregular_sugar_level,5
cough,4
high_fever,7
sunken_eyes,3
breathlessness,4
sweating,3
dehydration,4
indigestion,5
headache,3
yellowish_skin,3
dark_urine,4
nausea,5
loss_of_appetite,4
pain_behind_the_eyes,4
back_pain,3
constipation,4
abdominal_pain,4
diarrhoea,6
mild_fever,5
yellow_urine,4
yellowing_of_eyes,4
acute_liver_failure,6
fluid_overload,6
swelling_of_stomach,7
swelled_lymph_nodes,6
malaise,6
blurred_and_distorted_vision,5
phlegm,5
throat_irritation,4
redness_of_eyes,5
sinus_pressure,4
runny_nose,5
congestion,5
chest_pain,7
weakness_in_limbs,7
fast_heart_rate,5
pain_during_bowel_movements,5
pain_in_anal_region,6
bloody_stool,5
irritation_in_anus,6
neck_pain,5
dizziness,4
cramps,4
bruising,4
obesity,4
swollen_legs,5
swollen_blood_vessels,5
puffy_face_and_eyes,5
enlarged_thyroid,6
brittle_nails,5
swollen_extremeties,5
excessive_hunger,4
extra_marital_contacts,5
drying_and_tingling_lips,4
slurred_speech,4
knee_pain,3
hip_joint_pain,2
muscle_weakness,2
stiff_neck,4
swelling_joints,5
movement_stiffness,5
spinning_movements,6
loss_of_balance,4
unsteadiness,4
weakness_of_one_body_side,4
loss_of_smell,3
bladder_discomfort,4
foul_smell_ofurine,5
continuous_feel_of_urine,6
passage_of_gases,5
internal_itching,4
toxic_look_(typhos),5
depression,3
irritability,2
muscle_pain,2
altered_sensorium,2
red_spots_over_body,3
belly_pain,4
abnormal_menstruation,6
dischromic_patches,6
watering_from_eyes,4
increased_appetite,5
polyuria,4
family_history,5
mucoid_sputum,4
rusty_sputum,4
lack_of_concentration,3
visual_disturbances,3
receiving_blood_transfusion,5
receiving_unsterile_injections,2
coma,7
stomach_bleeding,6
distention_of_abdomen,4
history_of_alcohol_consumption,5
fluid_overload,4
blood_in_sputum,5
prominent_veins_on_calf,6
palpitations,4
painful_walking,2
pus_filled_pimples,2
blackheads,2
scurring,2
skin_peeling,3
silver_like_dusting,2
small_dents_in_nails,2
inflammatory_nails,2
blister,4
red_sore_around_nose,2
yellow_crust_ooze,3
prognosis,5
anxiety and nervousness,4
shortness of breath,6
depressive or psychotic symptoms,4
sharp chest pain,6
insomnia,4
abnormal involuntary movements,6
chest tightness,6
irregular heartbeat,6
breathing fast,2
hoarse voice,2
sore throat,4
difficulty speaking,6
nasal congestion,2
throat swelling,2
diminished hearing,4
difficulty in swallowing,4
skin swelling,4
retention of urine,6
leg pain,2
hip pain,4
suprapubic pain,2
blood in stool,6
lack of growth,2
symptoms of the scrotum and testes,2
swelling of scrotum,2
pain in testicles,2
pus draining from ear,2
jaundice,6
white discharge from eye,2
irritable infant,2
abusing alcohol,2
fainting,6
hostile behavior,2
drug abuse,2
sharp abdominal pain,6
feeling ill,4
diarrhea,4
vaginal itching,2
painful urination,4
involuntary urination,4
pain during intercourse,2
frequent urination,4
lower abdominal pain,4
vaginal discharge,2
blood in urine,6
hot flashes,2
intermenstrual bleeding,2
hand or finger pain,2
wrist pain,2
hand or finger swelling,2
arm pain,2
wrist swelling,2
arm stiffness or tightness,2
arm swelling,2
hand or finger stiffness or tightness,2
lip swelling,4
toothache,4
abnormal appearing skin,4
skin lesion,4
acne or pimples,2
facial pain,4
mouth ulcer,4
skin growth,2
diminished vision,4
double vision,4
symptoms of eye,2
pain in eye,4
abnormal movement of eyelid,2
foreign body sensation in eye,2
irregular appearing scalp,2
back pain,4
neck pain,4
low back pain,4
pain of the anus,2
pain during pregnancy,4
pelvic pain,4
impotence,2
vomiting blood,6
regurgitation,4
burning abdominal pain,4
wheezing,4
peripheral edema,4
neck mass,2
ear pain,4
jaw swelling,2
mouth dryness,2
neck swelling,2
knee pain,4
foot or toe pain,2
ankle pain,2
bones are painful,2
elbow pain,2
knee swelling,2
skin moles,2
weight gain,2
problems with movement,2
knee stiffness or tightness,2
leg swelling,2
foot or toe swelling,2
heartburn,2
infant feeding problem,2
vaginal pain,2
vaginal redness,2
weakness,4
decreased heart rate,6
increased heart rate,6
ringing in ear,2
plugged feeling in ear,2
itchy ear(s),2
frontal headache,2
fluid in ear,2
spots or clouds in vision,2
eye redness,2
lacrimation,2
itchiness of eye,2
blindness,6
eye burns or stings,2
decreased appetite,2
excessive anger,2
loss of sensation,6
focal weakness,6
symptoms of the face,2
disturbance of memory,2
paresthesia,6
side pain,4
fever,4
shoulder pain,2
shoulder stiffness or tightness,2
ache all over,4
lower body pain,2
problems during pregnancy,2
spotting or bleeding during pregnancy,6
cramps and spasms,2
upper abdominal pain,4
stomach bloating,2
changes in stool appearance,2
unusual color or odor to urine,2
kidney mass,6
symptoms of prostate,2
difficulty breathing,6
rib pain,4
joint pain,4
hand or finger lump or mass,2
groin pain,4
regurgitation.1,4
symptoms of the kidneys,6
melena,6
coughing up sputum,6
seizures,6
delusions or hallucinations,6
excessive urination at night,4
bleeding from eye,6
rectal bleeding,6
temper problems,2
coryza,2
hemoptysis,6
allergic reaction,4
congestion in chest,4
sleepiness,2
apnea,6
abnormal breathing sounds,4
blood clots during menstrual periods,2
pulling at ears,2
gum pain,2
redness in ear,2
fluid retention,4
flu-like syndrome,2
sinus congestion,4
painful sinuses,2
fears and phobias,2
recent pregnancy,2
uterine contractions,6
burning chest pain,6
back cramps or spasms,2
back mass or lump,2
nosebleed,4
long menstrual periods,4
heavy menstrual flow,4
unpredictable menstruation,2
painful menstruation,4
infertility,2
frequent menstruation,2
mass on eyelid,2
swollen eye,2
eyelid swelling,2
eyelid lesion or rash,2
symptoms of bladder,2
irregular appearing nails,2
itching of skin,2
hurts to breath,4
"skin dryness, peeling, scaliness, or roughness",2
skin irritation,2
itchy scalp,2
warts,2
skin rash,2
